winner,condition,turn,current_player,vp_marquise,vp_eyrie,winning_dominance
MARQUISE,vp,12,MARQUISE,34,1,none
MARQUISE,vp,16,MARQUISE,34,11,none
MARQUISE,vp,12,MARQUISE,31,0,none
MARQUISE,vp,14,MARQUISE,34,1,none
MARQUISE,vp,18,MARQUISE,30,23,none
MARQUISE,vp,14,MARQUISE,31,1,none
MARQUISE,vp,12,MARQUISE,30,0,none
MARQUISE,vp,14,MARQUISE,34,1,none
MARQUISE,vp,14,MARQUISE,33,2,none
MARQUISE,vp,18,MARQUISE,31,16,none
MARQUISE,vp,16,MARQUISE,30,7,none
MARQUISE,vp,16,MARQUISE,30,1,none
MARQUISE,vp,12,MARQUISE,32,0,none
MARQUISE,vp,20,MARQUISE,38,2,none
MARQUISE,vp,16,MARQUISE,31,0,none
MARQUISE,vp,15,EYRIE,31,10,none
MARQUISE,vp,14,MARQUISE,31,0,none
MARQUISE,vp,14,MARQUISE,30,11,none
MARQUISE,vp,12,MARQUISE,31,0,none
MARQUISE,vp,14,MARQUISE,32,1,none
MARQUISE,vp,14,MARQUISE,31,0,none
MARQUISE,vp,14,MARQUISE,34,1,none
MARQUISE,vp,12,MARQUISE,32,1,none
MARQUISE,vp,16,MARQUISE,34,8,none
MARQUISE,vp,18,EYRIE,36,7,none
MARQUISE,vp,16,MARQUISE,32,0,none
MARQUISE,vp,16,MARQUISE,30,8,none
MARQUISE,vp,16,EYRIE,37,5,none
MARQUISE,vp,14,MARQUISE,31,1,none
MARQUISE,vp,12,MARQUISE,31,3,none
MARQUISE,vp,14,MARQUISE,30,0,none
MARQUISE,vp,12,MARQUISE,34,1,none
MARQUISE,vp,12,MARQUISE,33,3,none
MARQUISE,vp,14,MARQUISE,31,1,none
MARQUISE,vp,18,EYRIE,34,5,none
MARQUISE,vp,18,MARQUISE,31,5,none
MARQUISE,vp,16,MARQUISE,31,4,none
MARQUISE,vp,18,MARQUISE,31,3,none
MARQUISE,vp,16,MARQUISE,32,2,none
MARQUISE,vp,14,MARQUISE,33,12,none
MARQUISE,vp,14,MARQUISE,31,2,none
MARQUISE,vp,14,MARQUISE,33,4,none
MARQUISE,vp,16,MARQUISE,32,9,none
MARQUISE,vp,16,MARQUISE,30,0,none
MARQUISE,vp,18,MARQUISE,31,0,none
MARQUISE,vp,14,MARQUISE,31,1,none
MARQUISE,vp,12,MARQUISE,33,0,none
MARQUISE,vp,14,MARQUISE,34,1,none
MARQUISE,vp,16,MARQUISE,32,1,none
MARQUISE,vp,16,MARQUISE,33,4,none
MARQUISE,vp,16,MARQUISE,34,1,none
MARQUISE,vp,16,MARQUISE,31,1,none
MARQUISE,vp,16,MARQUISE,30,5,none
MARQUISE,vp,13,MARQUISE,31,1,none
MARQUISE,vp,16,MARQUISE,33,4,none
MARQUISE,vp,16,EYRIE,38,1,none
MARQUISE,vp,16,MARQUISE,30,2,none
MARQUISE,vp,19,MARQUISE,30,1,none
MARQUISE,vp,14,MARQUISE,34,0,none
MARQUISE,vp,16,MARQUISE,30,6,none
MARQUISE,vp,14,MARQUISE,35,2,none
MARQUISE,vp,16,MARQUISE,33,3,none
MARQUISE,vp,14,MARQUISE,31,1,none
MARQUISE,vp,16,MARQUISE,31,0,none
MARQUISE,vp,19,MARQUISE,30,2,none
MARQUISE,vp,13,MARQUISE,31,0,none
MARQUISE,vp,26,MARQUISE,30,3,none
MARQUISE,vp,20,MARQUISE,35,0,none
MARQUISE,vp,14,MARQUISE,31,4,none
MARQUISE,vp,14,MARQUISE,30,8,none
MARQUISE,vp,18,MARQUISE,31,6,none
MARQUISE,vp,14,MARQUISE,31,0,none
MARQUISE,vp,17,MARQUISE,30,7,none
MARQUISE,vp,16,EYRIE,35,2,none
MARQUISE,vp,16,MARQUISE,33,6,none
MARQUISE,vp,14,MARQUISE,34,2,none
MARQUISE,vp,18,MARQUISE,31,12,none
MARQUISE,vp,16,MARQUISE,30,0,none
MARQUISE,vp,16,MARQUISE,32,0,none
MARQUISE,vp,16,MARQUISE,30,1,none
MARQUISE,vp,14,MARQUISE,32,0,none
MARQUISE,vp,16,MARQUISE,33,1,none
MARQUISE,vp,20,MARQUISE,31,0,none
MARQUISE,vp,16,MARQUISE,31,3,none
MARQUISE,vp,16,MARQUISE,31,3,none
MARQUISE,vp,16,MARQUISE,30,7,none
MARQUISE,vp,16,MARQUISE,31,0,none
MARQUISE,vp,16,MARQUISE,31,0,none
MARQUISE,vp,14,MARQUISE,35,0,none
MARQUISE,vp,18,MARQUISE,34,3,none
MARQUISE,vp,12,MARQUISE,32,1,none
MARQUISE,vp,14,MARQUISE,34,1,none
MARQUISE,vp,18,MARQUISE,37,0,none
MARQUISE,vp,18,MARQUISE,31,2,none
MARQUISE,vp,14,MARQUISE,31,0,none
MARQUISE,vp,15,MARQUISE,31,1,none
MARQUISE,vp,16,MARQUISE,32,1,none
MARQUISE,vp,14,MARQUISE,31,0,none
MARQUISE,vp,16,MARQUISE,33,2,none
MARQUISE,vp,16,MARQUISE,33,0,none
