winner,condition,turn,current_player,vp_marquise,vp_eyrie,winning_dominance
MARQUISE,vp,32,MARQUISE,30,23,none
MARQUISE,vp,36,MARQUISE,30,27,none
MARQUISE,vp,20,MARQUISE,30,12,none
MARQUISE,vp,22,MARQUISE,30,0,none
EYRIE,vp,29,EYRIE,19,31,none
MARQUISE,vp,32,MARQUISE,30,13,none
MARQUISE,vp,38,MARQUISE,32,26,none
MARQUISE,vp,27,EYRIE,30,2,none
MARQUISE,vp,29,MARQUISE,30,25,none
MARQUISE,vp,20,EYRIE,32,7,none
EYRIE,vp,29,MARQUISE,24,30,none
MARQUISE,vp,24,MARQUISE,30,30,none
EYRIE,vp,27,MARQUISE,22,33,none
EYRIE,vp,33,MARQUISE,21,30,none
EYRIE,vp,35,MARQUISE,29,30,none
MARQUISE,vp,26,MARQUISE,30,12,none
MARQUISE,vp,39,MARQUISE,31,28,none
EYRIE,vp,35,EYRIE,29,43,none
EYRIE,vp,31,MARQUISE,28,30,none
MARQUISE,vp,42,MARQUISE,30,19,none
MARQUISE,vp,27,MARQUISE,32,4,none
MARQUISE,vp,37,MARQUISE,30,13,none
EYRIE,vp,33,MARQUISE,23,30,none
MARQUISE,vp,23,MARQUISE,30,8,none
MARQUISE,vp,28,MARQUISE,30,22,none
MARQUISE,vp,30,MARQUISE,32,11,none
MARQUISE,vp,30,MARQUISE,33,9,none
EYRIE,vp,28,MARQUISE,27,31,none
MARQUISE,vp,33,MARQUISE,30,16,none
MARQUISE,vp,24,MARQUISE,30,1,none
EYRIE,vp,29,MARQUISE,17,30,none
MARQUISE,vp,30,MARQUISE,31,8,none
MARQUISE,vp,40,MARQUISE,31,11,none
MARQUISE,vp,28,MARQUISE,31,16,none
MARQUISE,vp,22,MARQUISE,33,21,none
MARQUISE,vp,39,MARQUISE,30,27,none
MARQUISE,vp,38,MARQUISE,31,13,none
MARQUISE,vp,40,MARQUISE,30,18,none
EYRIE,vp,35,MARQUISE,29,31,none
MARQUISE,vp,24,MARQUISE,30,7,none
MARQUISE,vp,26,MARQUISE,30,4,none
EYRIE,vp,33,MARQUISE,24,30,none
EYRIE,vp,31,MARQUISE,19,33,none
MARQUISE,vp,39,MARQUISE,31,23,none
MARQUISE,vp,27,MARQUISE,30,19,none
MARQUISE,vp,32,MARQUISE,30,24,none
MARQUISE,vp,30,MARQUISE,32,12,none
MARQUISE,vp,39,MARQUISE,30,20,none
MARQUISE,vp,24,MARQUISE,31,14,none
EYRIE,vp,27,MARQUISE,24,30,none
EYRIE,vp,41,MARQUISE,28,30,none
MARQUISE,vp,26,MARQUISE,30,5,none
MARQUISE,vp,22,MARQUISE,32,3,none
MARQUISE,vp,24,MARQUISE,30,3,none
MARQUISE,vp,30,MARQUISE,31,10,none
EYRIE,vp,43,MARQUISE,29,30,none
MARQUISE,vp,36,MARQUISE,31,0,none
EYRIE,vp,25,MARQUISE,21,30,none
EYRIE,vp,27,MARQUISE,29,31,none
MARQUISE,vp,37,EYRIE,30,16,none
EYRIE,vp,21,MARQUISE,16,30,none
MARQUISE,vp,22,MARQUISE,30,20,none
MARQUISE,vp,30,MARQUISE,31,0,none
MARQUISE,vp,31,MARQUISE,30,23,none
MARQUISE,vp,32,MARQUISE,30,2,none
MARQUISE,vp,33,MARQUISE,30,25,none
EYRIE,vp,25,MARQUISE,16,30,none
EYRIE,vp,25,MARQUISE,17,31,none
EYRIE,vp,39,MARQUISE,27,30,none
EYRIE,vp,41,MARQUISE,23,32,none
EYRIE,vp,37,MARQUISE,28,30,none
EYRIE,vp,31,MARQUISE,26,30,none
EYRIE,vp,29,MARQUISE,25,34,none
MARQUISE,vp,31,EYRIE,31,25,none
MARQUISE,vp,28,MARQUISE,30,27,none
MARQUISE,vp,26,MARQUISE,31,21,none
EYRIE,vp,30,MARQUISE,27,31,none
MARQUISE,vp,21,MARQUISE,30,11,none
MARQUISE,vp,35,MARQUISE,30,28,none
MARQUISE,vp,29,MARQUISE,30,15,none
EYRIE,vp,29,MARQUISE,20,30,none
MARQUISE,vp,32,MARQUISE,30,15,none
EYRIE,vp,37,MARQUISE,26,33,none
MARQUISE,vp,23,EYRIE,30,9,none
MARQUISE,vp,27,EYRIE,30,21,none
MARQUISE,vp,25,MARQUISE,30,7,none
EYRIE,vp,23,MARQUISE,22,30,none
MARQUISE,vp,40,MARQUISE,30,13,none
MARQUISE,vp,35,MARQUISE,31,17,none
EYRIE,vp,27,MARQUISE,28,30,none
MARQUISE,vp,43,MARQUISE,30,8,none
MARQUISE,vp,34,MARQUISE,30,17,none
MARQUISE,vp,36,MARQUISE,30,23,none
MARQUISE,vp,33,MARQUISE,30,3,none
MARQUISE,vp,34,MARQUISE,30,19,none
MARQUISE,vp,28,MARQUISE,30,18,none
MARQUISE,vp,29,MARQUISE,30,23,none
MARQUISE,vp,27,MARQUISE,30,9,none
MARQUISE,vp,22,MARQUISE,32,11,none
MARQUISE,vp,28,MARQUISE,30,6,none
EYRIE,vp,31,MARQUISE,13,30,none
