winner,turn,current_player,vp_marquise,vp_eyrie
EYRIE,17,EYRIE,19,30
EYRIE,13,EYRIE,12,30
MARQUISE,22,MARQUISE,33,23
MARQUISE,18,MARQUISE,31,7
EYRIE,15,EYRIE,8,34
EYRIE,11,MARQUISE,11,32
EYRIE,17,MARQUISE,9,33
EYRIE,12,MARQUISE,9,33
MARQUISE,18,MARQUISE,34,4
EYRIE,13,MARQUISE,10,33
MARQUISE,14,MARQUISE,31,21
EYRIE,17,EYRIE,8,34
MARQUISE,22,MARQUISE,33,29
EYRIE,19,MARQUISE,11,34
EYRIE,21,EYRIE,19,32
MARQUISE,18,MARQUISE,32,15
EYRIE,13,MARQUISE,7,32
MARQUISE,18,MARQUISE,30,22
MARQUISE,23,MARQUISE,30,26
EYRIE,11,EYRIE,9,31
EYRIE,17,MARQUISE,15,32
MARQUISE,16,MARQUISE,31,17
EYRIE,15,EYRIE,12,30
EYRIE,19,MARQUISE,16,32
MARQUISE,18,MARQUISE,31,26
EYRIE,15,MARQUISE,5,32
EYRIE,17,EYRIE,9,34
EYRIE,13,MARQUISE,12,30
EYRIE,15,MARQUISE,10,33
EYRIE,23,MARQUISE,16,34
MARQUISE,20,MARQUISE,33,18
MARQUISE,22,MARQUISE,30,16
EYRIE,13,EYRIE,11,31
EYRIE,15,EYRIE,6,30
MARQUISE,18,MARQUISE,30,27
MARQUISE,16,MARQUISE,31,25
MARQUISE,19,MARQUISE,30,26
MARQUISE,17,MARQUISE,32,9
MARQUISE,22,MARQUISE,30,26
EYRIE,11,MARQUISE,12,31
MARQUISE,16,MARQUISE,33,19
MARQUISE,18,MARQUISE,30,24
MARQUISE,32,MARQUISE,33,13
EYRIE,11,MARQUISE,11,31
EYRIE,13,MARQUISE,10,30
EYRIE,14,MARQUISE,10,31
EYRIE,13,MARQUISE,11,33
MARQUISE,16,EYRIE,34,11
EYRIE,13,MARQUISE,13,33
EYRIE,13,MARQUISE,22,30
EYRIE,15,EYRIE,9,30
MARQUISE,34,MARQUISE,30,12
EYRIE,13,MARQUISE,10,30
EYRIE,15,MARQUISE,14,34
MARQUISE,19,MARQUISE,30,26
MARQUISE,18,MARQUISE,30,18
EYRIE,13,MARQUISE,12,32
EYRIE,11,MARQUISE,9,30
EYRIE,25,MARQUISE,18,32
EYRIE,11,MARQUISE,12,32
EYRIE,13,EYRIE,10,30
EYRIE,15,EYRIE,18,30
MARQUISE,19,MARQUISE,30,22
EYRIE,13,EYRIE,9,35
MARQUISE,20,MARQUISE,31,17
EYRIE,15,MARQUISE,4,32
EYRIE,13,MARQUISE,15,32
MARQUISE,14,MARQUISE,30,22
EYRIE,11,MARQUISE,16,30
MARQUISE,18,MARQUISE,30,22
MARQUISE,14,MARQUISE,32,13
EYRIE,13,MARQUISE,16,34
EYRIE,15,MARQUISE,14,30
EYRIE,11,MARQUISE,12,34
EYRIE,13,MARQUISE,13,32
MARQUISE,18,MARQUISE,30,25
EYRIE,13,EYRIE,14,33
EYRIE,17,MARQUISE,13,34
MARQUISE,24,MARQUISE,32,9
EYRIE,17,MARQUISE,10,30
EYRIE,14,MARQUISE,5,32
MARQUISE,18,EYRIE,34,7
MARQUISE,22,MARQUISE,31,14
MARQUISE,16,MARQUISE,33,16
EYRIE,13,MARQUISE,8,30
EYRIE,15,MARQUISE,6,33
MARQUISE,16,MARQUISE,30,27
MARQUISE,18,MARQUISE,32,23
EYRIE,15,MARQUISE,14,33
EYRIE,21,MARQUISE,22,33
EYRIE,15,MARQUISE,27,31
MARQUISE,18,MARQUISE,30,18
EYRIE,13,MARQUISE,9,31
MARQUISE,20,MARQUISE,31,24
EYRIE,25,MARQUISE,28,30
EYRIE,13,MARQUISE,15,31
EYRIE,17,EYRIE,9,30
MARQUISE,16,MARQUISE,31,17
EYRIE,13,MARQUISE,20,31
EYRIE,13,MARQUISE,14,34
