winner,turn,current_player,vp_marquise,vp_eyrie
MARQUISE,14,MARQUISE,33,21
MARQUISE,24,MARQUISE,30,25
EYRIE,20,MARQUISE,17,32
EYRIE,19,EYRIE,28,40
EYRIE,17,MARQUISE,24,33
EYRIE,21,MARQUISE,23,32
MARQUISE,18,MARQUISE,33,23
EYRIE,16,MARQUISE,23,30
MARQUISE,17,MARQUISE,31,17
EYRIE,15,EYRIE,25,32
EYRIE,21,MARQUISE,26,32
EYRIE,15,MARQUISE,26,31
MARQUISE,14,MARQUISE,32,5
MARQUISE,16,MARQUISE,30,20
EYRIE,21,EYRIE,23,33
MARQUISE,16,MARQUISE,32,13
MARQUISE,18,MARQUISE,32,5
EYRIE,21,MARQUISE,26,32
EYRIE,15,MARQUISE,19,30
MARQUISE,18,MARQUISE,30,16
MARQUISE,16,MARQUISE,30,22
EYRIE,18,EYRIE,26,31
EYRIE,13,MARQUISE,9,34
EYRIE,17,MARQUISE,26,33
EYRIE,18,MARQUISE,25,30
EYRIE,15,MARQUISE,20,32
EYRIE,17,MARQUISE,24,32
MARQUISE,16,MARQUISE,33,21
EYRIE,23,MARQUISE,27,30
EYRIE,17,MARQUISE,23,30
MARQUISE,12,MARQUISE,30,8
EYRIE,21,MARQUISE,26,31
MARQUISE,12,MARQUISE,31,1
MARQUISE,14,MARQUISE,30,21
EYRIE,17,MARQUISE,22,31
EYRIE,19,MARQUISE,28,31
MARQUISE,16,MARQUISE,31,24
MARQUISE,16,MARQUISE,30,17
MARQUISE,20,MARQUISE,31,26
EYRIE,17,MARQUISE,16,31
EYRIE,19,MARQUISE,16,32
EYRIE,15,MARQUISE,17,32
MARQUISE,13,MARQUISE,31,15
EYRIE,16,MARQUISE,27,33
MARQUISE,14,MARQUISE,30,7
EYRIE,15,MARQUISE,22,32
EYRIE,16,MARQUISE,12,30
EYRIE,16,MARQUISE,26,31
EYRIE,16,MARQUISE,21,30
MARQUISE,16,MARQUISE,32,15
EYRIE,12,MARQUISE,18,30
MARQUISE,16,MARQUISE,31,15
EYRIE,19,MARQUISE,25,31
MARQUISE,18,MARQUISE,31,17
MARQUISE,14,MARQUISE,31,16
MARQUISE,14,MARQUISE,32,23
MARQUISE,19,EYRIE,30,29
MARQUISE,16,EYRIE,30,17
EYRIE,23,MARQUISE,23,33
EYRIE,15,MARQUISE,19,30
MARQUISE,14,MARQUISE,31,1
MARQUISE,16,MARQUISE,33,14
EYRIE,13,MARQUISE,22,31
EYRIE,14,MARQUISE,20,33
MARQUISE,15,EYRIE,31,22
EYRIE,19,EYRIE,24,30
EYRIE,19,MARQUISE,25,31
MARQUISE,16,MARQUISE,32,10
EYRIE,15,MARQUISE,23,32
MARQUISE,16,MARQUISE,30,28
EYRIE,19,EYRIE,23,30
MARQUISE,20,MARQUISE,30,27
EYRIE,17,MARQUISE,27,34
MARQUISE,18,MARQUISE,30,20
EYRIE,15,EYRIE,14,30
EYRIE,19,MARQUISE,23,31
EYRIE,15,MARQUISE,20,33
EYRIE,15,MARQUISE,21,33
EYRIE,13,MARQUISE,28,33
MARQUISE,15,MARQUISE,31,20
EYRIE,15,EYRIE,22,33
MARQUISE,18,MARQUISE,36,28
EYRIE,21,MARQUISE,26,30
EYRIE,15,MARQUISE,25,31
MARQUISE,14,MARQUISE,30,19
MARQUISE,18,MARQUISE,31,27
EYRIE,19,MARQUISE,28,33
MARQUISE,18,MARQUISE,31,20
MARQUISE,16,MARQUISE,34,19
EYRIE,21,MARQUISE,28,31
EYRIE,17,MARQUISE,27,33
EYRIE,17,MARQUISE,17,33
MARQUISE,14,MARQUISE,30,5
MARQUISE,14,MARQUISE,32,25
EYRIE,21,MARQUISE,29,32
MARQUISE,16,MARQUISE,30,26
EYRIE,18,MARQUISE,27,30
MARQUISE,20,MARQUISE,30,28
MARQUISE,16,MARQUISE,30,30
MARQUISE,13,MARQUISE,30,3
