winner,turn,current_player,vp_marquise,vp_eyrie
MARQUISE,16,MARQUISE,30,16
EYRIE,15,EYRIE,28,30
EYRIE,17,MARQUISE,25,32
MARQUISE,16,MARQUISE,30,25
MARQUISE,18,MARQUISE,30,23
EYRIE,17,MARQUISE,28,32
MARQUISE,18,MARQUISE,30,24
EYRIE,15,MARQUISE,25,32
MARQUISE,12,MARQUISE,30,16
MARQUISE,12,MARQUISE,30,27
MARQUISE,17,EYRIE,30,16
MARQUISE,14,MARQUISE,30,19
MARQUISE,12,MARQUISE,30,15
EYRIE,16,MARQUISE,28,31
MARQUISE,14,MARQUISE,31,23
EYRIE,14,MARQUISE,24,30
MARQUISE,12,MARQUISE,30,14
MARQUISE,16,MARQUISE,31,18
MARQUISE,14,MARQUISE,32,8
MARQUISE,14,MARQUISE,32,20
MARQUISE,16,MARQUISE,30,28
MARQUISE,16,MARQUISE,30,27
MARQUISE,14,MARQUISE,30,27
MARQUISE,16,MARQUISE,30,25
MARQUISE,18,MARQUISE,32,30
EYRIE,11,MARQUISE,22,30
EYRIE,15,MARQUISE,22,30
EYRIE,15,MARQUISE,27,31
MARQUISE,16,MARQUISE,32,12
MARQUISE,16,MARQUISE,32,11
MARQUISE,18,MARQUISE,30,23
EYRIE,15,EYRIE,25,30
MARQUISE,14,MARQUISE,30,16
MARQUISE,16,MARQUISE,31,22
MARQUISE,16,MARQUISE,31,19
MARQUISE,14,MARQUISE,33,17
EYRIE,13,MARQUISE,18,30
MARQUISE,14,MARQUISE,32,28
MARQUISE,12,MARQUISE,31,18
EYRIE,15,MARQUISE,29,33
EYRIE,12,MARQUISE,20,32
MARQUISE,13,MARQUISE,30,8
MARQUISE,14,MARQUISE,31,27
EYRIE,14,MARQUISE,20,30
EYRIE,16,EYRIE,25,30
MARQUISE,14,MARQUISE,31,24
EYRIE,12,MARQUISE,17,33
EYRIE,15,MARQUISE,27,31
MARQUISE,18,MARQUISE,30,28
MARQUISE,13,MARQUISE,31,22
MARQUISE,14,MARQUISE,30,18
MARQUISE,18,MARQUISE,30,8
EYRIE,15,EYRIE,26,32
EYRIE,17,MARQUISE,21,30
MARQUISE,14,MARQUISE,30,24
MARQUISE,22,MARQUISE,30,24
EYRIE,13,MARQUISE,23,30
MARQUISE,14,MARQUISE,32,19
EYRIE,16,MARQUISE,28,30
MARQUISE,14,MARQUISE,30,13
MARQUISE,12,MARQUISE,31,20
MARQUISE,14,MARQUISE,30,27
EYRIE,14,MARQUISE,20,33
MARQUISE,14,MARQUISE,30,25
MARQUISE,14,MARQUISE,31,22
EYRIE,15,MARQUISE,18,33
EYRIE,18,MARQUISE,24,30
MARQUISE,14,MARQUISE,31,18
MARQUISE,18,MARQUISE,34,20
MARQUISE,16,MARQUISE,30,19
EYRIE,14,MARQUISE,24,30
MARQUISE,16,MARQUISE,32,29
MARQUISE,16,MARQUISE,32,27
MARQUISE,12,MARQUISE,30,8
MARQUISE,18,MARQUISE,31,19
EYRIE,13,MARQUISE,27,31
EYRIE,16,MARQUISE,25,30
MARQUISE,16,MARQUISE,34,24
MARQUISE,14,MARQUISE,30,27
MARQUISE,15,MARQUISE,32,11
MARQUISE,18,MARQUISE,30,27
MARQUISE,14,MARQUISE,33,24
MARQUISE,12,MARQUISE,30,16
MARQUISE,16,MARQUISE,30,22
MARQUISE,16,MARQUISE,30,11
MARQUISE,14,MARQUISE,30,19
MARQUISE,14,MARQUISE,32,10
EYRIE,14,MARQUISE,22,30
MARQUISE,12,MARQUISE,30,19
MARQUISE,13,MARQUISE,30,12
EYRIE,15,MARQUISE,23,35
EYRIE,13,MARQUISE,27,30
MARQUISE,14,MARQUISE,34,19
EYRIE,16,MARQUISE,27,30
EYRIE,16,MARQUISE,25,30
EYRIE,15,MARQUISE,26,31
EYRIE,11,MARQUISE,26,33
MARQUISE,16,MARQUISE,31,24
MARQUISE,16,MARQUISE,30,30
MARQUISE,14,MARQUISE,30,28
