winner,turn,current_player,vp_marquise,vp_eyrie
EYRIE,13,MARQUISE,4,33
EYRIE,13,MARQUISE,5,31
EYRIE,21,MARQUISE,1,34
EYRIE,15,EYRIE,13,30
EYRIE,21,MARQUISE,2,33
EYRIE,19,MARQUISE,5,34
EYRIE,13,EYRIE,6,30
EYRIE,13,MARQUISE,4,30
EYRIE,13,MARQUISE,7,31
EYRIE,15,EYRIE,16,34
EYRIE,11,EYRIE,6,30
EYRIE,17,MARQUISE,3,30
EYRIE,13,MARQUISE,9,33
EYRIE,15,MARQUISE,6,36
EYRIE,15,EYRIE,6,33
EYRIE,17,MARQUISE,4,33
EYRIE,15,EYRIE,4,32
EYRIE,13,MARQUISE,6,30
EYRIE,13,MARQUISE,10,33
EYRIE,13,EYRIE,3,34
EYRIE,15,MARQUISE,13,33
EYRIE,17,MARQUISE,8,32
EYRIE,17,MARQUISE,7,34
EYRIE,14,MARQUISE,1,33
EYRIE,13,EYRIE,8,33
EYRIE,13,MARQUISE,6,34
EYRIE,15,MARQUISE,7,32
EYRIE,17,MARQUISE,10,31
EYRIE,15,MARQUISE,9,31
EYRIE,19,MARQUISE,3,34
EYRIE,10,EYRIE,7,30
EYRIE,13,MARQUISE,6,31
EYRIE,11,MARQUISE,8,30
EYRIE,29,MARQUISE,11,31
EYRIE,13,MARQUISE,6,30
EYRIE,15,MARQUISE,9,33
EYRIE,11,MARQUISE,8,30
EYRIE,19,MARQUISE,1,30
EYRIE,15,MARQUISE,2,32
EYRIE,17,MARQUISE,3,32
EYRIE,15,MARQUISE,8,34
EYRIE,15,MARQUISE,11,32
EYRIE,13,MARQUISE,8,31
EYRIE,13,MARQUISE,6,31
EYRIE,15,MARQUISE,8,34
EYRIE,15,EYRIE,11,30
EYRIE,13,MARQUISE,5,33
EYRIE,13,MARQUISE,5,33
EYRIE,19,MARQUISE,6,34
EYRIE,17,MARQUISE,10,33
EYRIE,13,MARQUISE,9,34
EYRIE,17,MARQUISE,23,32
EYRIE,13,MARQUISE,2,34
EYRIE,17,MARQUISE,10,31
EYRIE,13,MARQUISE,7,33
EYRIE,19,MARQUISE,0,31
EYRIE,11,MARQUISE,2,32
EYRIE,13,MARQUISE,4,34
EYRIE,15,MARQUISE,6,33
EYRIE,13,EYRIE,7,30
EYRIE,11,MARQUISE,7,32
EYRIE,19,MARQUISE,2,33
EYRIE,15,MARQUISE,7,32
EYRIE,15,EYRIE,3,30
EYRIE,21,MARQUISE,0,33
EYRIE,15,MARQUISE,2,32
EYRIE,11,MARQUISE,13,30
EYRIE,23,MARQUISE,16,33
EYRIE,15,MARQUISE,0,30
EYRIE,17,MARQUISE,2,34
EYRIE,13,MARQUISE,8,36
EYRIE,15,MARQUISE,7,30
EYRIE,13,EYRIE,12,30
EYRIE,19,MARQUISE,14,34
EYRIE,15,MARQUISE,15,32
EYRIE,13,MARQUISE,7,30
EYRIE,15,MARQUISE,3,34
EYRIE,13,MARQUISE,5,32
EYRIE,13,MARQUISE,8,34
EYRIE,15,EYRIE,5,33
EYRIE,17,EYRIE,3,30
EYRIE,13,MARQUISE,5,30
EYRIE,18,MARQUISE,1,32
EYRIE,15,MARQUISE,9,32
EYRIE,11,MARQUISE,6,30
EYRIE,15,EYRIE,2,30
EYRIE,15,EYRIE,8,34
EYRIE,19,MARQUISE,8,31
EYRIE,13,EYRIE,6,30
EYRIE,13,MARQUISE,7,34
EYRIE,21,MARQUISE,23,31
EYRIE,15,MARQUISE,2,33
EYRIE,15,EYRIE,6,31
EYRIE,13,MARQUISE,4,31
EYRIE,15,EYRIE,10,30
EYRIE,13,EYRIE,6,30
EYRIE,11,MARQUISE,10,31
EYRIE,11,MARQUISE,11,30
EYRIE,19,MARQUISE,11,32
EYRIE,11,EYRIE,9,34
