winner,turn,current_player,vp_marquise,vp_eyrie
EYRIE,12,MARQUISE,23,30
MARQUISE,13,MARQUISE,30,13
MARQUISE,16,MARQUISE,30,26
MARQUISE,15,MARQUISE,30,13
MARQUISE,15,MARQUISE,30,18
MARQUISE,14,MARQUISE,30,29
MARQUISE,18,MARQUISE,32,29
EYRIE,16,MARQUISE,24,30
MARQUISE,20,MARQUISE,31,28
EYRIE,15,MARQUISE,27,32
MARQUISE,13,EYRIE,31,13
EYRIE,15,MARQUISE,29,31
EYRIE,17,MARQUISE,26,32
EYRIE,15,MARQUISE,23,33
EYRIE,16,MARQUISE,24,33
MARQUISE,14,MARQUISE,31,28
EYRIE,14,EYRIE,26,35
EYRIE,21,MARQUISE,26,30
EYRIE,17,MARQUISE,22,31
EYRIE,16,EYRIE,27,33
EYRIE,13,MARQUISE,17,33
MARQUISE,21,MARQUISE,30,23
EYRIE,17,EYRIE,24,31
EYRIE,19,MARQUISE,18,30
MARQUISE,14,MARQUISE,33,26
EYRIE,18,EYRIE,26,30
EYRIE,17,EYRIE,23,39
MARQUISE,16,MARQUISE,31,17
MARQUISE,20,MARQUISE,30,12
EYRIE,13,MARQUISE,29,30
MARQUISE,18,MARQUISE,31,29
EYRIE,19,MARQUISE,22,33
MARQUISE,18,MARQUISE,32,27
EYRIE,15,MARQUISE,29,33
MARQUISE,12,MARQUISE,31,16
MARQUISE,14,MARQUISE,30,22
MARQUISE,17,MARQUISE,32,29
MARQUISE,17,MARQUISE,31,22
EYRIE,19,EYRIE,24,30
EYRIE,19,MARQUISE,23,36
MARQUISE,18,MARQUISE,30,27
MARQUISE,18,MARQUISE,31,23
MARQUISE,16,MARQUISE,31,27
MARQUISE,18,EYRIE,34,25
MARQUISE,12,MARQUISE,30,16
EYRIE,16,MARQUISE,27,32
MARQUISE,23,MARQUISE,31,33
MARQUISE,18,MARQUISE,31,22
MARQUISE,18,MARQUISE,30,18
EYRIE,13,EYRIE,18,30
EYRIE,24,MARQUISE,27,30
EYRIE,16,MARQUISE,28,33
EYRIE,15,MARQUISE,25,31
EYRIE,16,MARQUISE,16,32
MARQUISE,14,MARQUISE,30,24
EYRIE,17,MARQUISE,22,31
MARQUISE,16,MARQUISE,32,23
EYRIE,21,MARQUISE,26,32
EYRIE,18,MARQUISE,21,33
EYRIE,14,MARQUISE,17,30
EYRIE,21,MARQUISE,29,31
EYRIE,13,MARQUISE,25,31
MARQUISE,18,MARQUISE,30,20
MARQUISE,14,MARQUISE,31,4
MARQUISE,20,MARQUISE,30,24
MARQUISE,16,MARQUISE,32,20
EYRIE,19,MARQUISE,29,31
EYRIE,15,MARQUISE,18,32
MARQUISE,19,MARQUISE,31,28
MARQUISE,18,MARQUISE,30,28
MARQUISE,14,MARQUISE,32,22
EYRIE,17,MARQUISE,21,31
MARQUISE,17,MARQUISE,30,17
EYRIE,15,MARQUISE,23,31
MARQUISE,14,MARQUISE,33,22
MARQUISE,16,MARQUISE,30,14
EYRIE,15,MARQUISE,26,32
MARQUISE,14,MARQUISE,31,8
MARQUISE,14,MARQUISE,32,16
EYRIE,11,MARQUISE,22,31
EYRIE,12,MARQUISE,22,30
EYRIE,15,EYRIE,20,32
MARQUISE,16,MARQUISE,30,25
MARQUISE,18,EYRIE,30,25
MARQUISE,14,MARQUISE,30,24
EYRIE,16,MARQUISE,23,30
EYRIE,14,MARQUISE,21,31
MARQUISE,14,MARQUISE,30,20
MARQUISE,14,MARQUISE,32,18
EYRIE,15,MARQUISE,20,32
EYRIE,13,MARQUISE,19,32
MARQUISE,16,MARQUISE,30,11
EYRIE,18,EYRIE,26,30
MARQUISE,16,MARQUISE,31,14
EYRIE,16,MARQUISE,23,30
EYRIE,17,MARQUISE,25,34
EYRIE,16,MARQUISE,21,33
EYRIE,19,EYRIE,27,33
MARQUISE,14,MARQUISE,31,20
EYRIE,21,MARQUISE,25,33
