winner,turn,current_player,vp_marquise,vp_eyrie
MARQUISE,30,MARQUISE,30,26
MARQUISE,44,MARQUISE,30,26
EYRIE,39,EYRIE,25,32
MARQUISE,25,MARQUISE,30,10
MARQUISE,32,MARQUISE,30,18
EYRIE,57,EYRIE,29,31
EYRIE,33,MARQUISE,26,31
EYRIE,33,MARQUISE,29,31
MARQUISE,29,MARQUISE,32,7
MARQUISE,28,MARQUISE,30,9
MARQUISE,29,MARQUISE,30,28
EYRIE,35,MARQUISE,20,30
MARQUISE,30,MARQUISE,31,29
MARQUISE,31,MARQUISE,30,29
MARQUISE,26,MARQUISE,30,21
EYRIE,45,MARQUISE,16,32
MARQUISE,23,MARQUISE,31,13
MARQUISE,31,EYRIE,32,5
MARQUISE,37,EYRIE,30,14
EYRIE,21,MARQUISE,24,30
MARQUISE,23,MARQUISE,30,8
MARQUISE,26,MARQUISE,31,13
MARQUISE,31,MARQUISE,30,15
MARQUISE,27,MARQUISE,31,20
MARQUISE,24,MARQUISE,30,21
MARQUISE,23,MARQUISE,31,4
MARQUISE,26,MARQUISE,31,18
MARQUISE,34,MARQUISE,31,17
MARQUISE,37,MARQUISE,30,24
MARQUISE,43,EYRIE,30,11
MARQUISE,22,MARQUISE,30,16
MARQUISE,28,MARQUISE,30,2
MARQUISE,30,MARQUISE,30,26
MARQUISE,20,MARQUISE,30,18
EYRIE,31,MARQUISE,29,31
MARQUISE,26,MARQUISE,33,19
MARQUISE,32,MARQUISE,30,20
EYRIE,35,MARQUISE,26,31
EYRIE,23,MARQUISE,18,31
EYRIE,21,EYRIE,18,30
MARQUISE,38,MARQUISE,31,27
MARQUISE,26,MARQUISE,30,13
EYRIE,47,EYRIE,28,30
MARQUISE,37,MARQUISE,30,4
MARQUISE,31,MARQUISE,30,15
MARQUISE,39,MARQUISE,30,8
MARQUISE,39,MARQUISE,30,25
MARQUISE,25,EYRIE,30,4
MARQUISE,28,MARQUISE,31,2
MARQUISE,28,MARQUISE,32,23
EYRIE,33,EYRIE,22,31
MARQUISE,29,MARQUISE,30,22
MARQUISE,31,MARQUISE,30,20
MARQUISE,26,MARQUISE,31,24
EYRIE,33,MARQUISE,28,30
MARQUISE,40,MARQUISE,30,25
MARQUISE,32,MARQUISE,32,8
MARQUISE,39,MARQUISE,30,15
MARQUISE,32,MARQUISE,31,2
MARQUISE,27,MARQUISE,30,9
MARQUISE,23,MARQUISE,30,4
MARQUISE,23,MARQUISE,31,3
EYRIE,23,MARQUISE,14,33
EYRIE,35,MARQUISE,23,30
EYRIE,31,MARQUISE,26,30
EYRIE,25,EYRIE,20,30
MARQUISE,38,MARQUISE,31,24
MARQUISE,26,MARQUISE,30,3
EYRIE,27,MARQUISE,26,30
MARQUISE,26,MARQUISE,31,18
MARQUISE,32,MARQUISE,30,17
EYRIE,23,MARQUISE,22,32
MARQUISE,33,MARQUISE,30,13
MARQUISE,36,MARQUISE,31,9
EYRIE,31,MARQUISE,15,31
EYRIE,35,EYRIE,27,30
EYRIE,26,MARQUISE,18,30
EYRIE,39,MARQUISE,25,30
MARQUISE,29,EYRIE,30,5
MARQUISE,29,EYRIE,30,5
MARQUISE,36,MARQUISE,31,12
MARQUISE,26,MARQUISE,30,10
MARQUISE,36,MARQUISE,30,14
EYRIE,21,MARQUISE,19,32
MARQUISE,31,MARQUISE,30,11
MARQUISE,31,MARQUISE,31,20
MARQUISE,24,MARQUISE,37,19
MARQUISE,25,MARQUISE,30,7
EYRIE,31,MARQUISE,27,30
MARQUISE,30,MARQUISE,31,26
MARQUISE,38,MARQUISE,30,2
MARQUISE,22,MARQUISE,31,14
MARQUISE,25,MARQUISE,30,16
MARQUISE,32,MARQUISE,30,28
MARQUISE,26,MARQUISE,32,2
MARQUISE,22,MARQUISE,32,0
MARQUISE,40,MARQUISE,31,11
MARQUISE,30,MARQUISE,30,11
MARQUISE,34,MARQUISE,30,14
MARQUISE,29,MARQUISE,32,12
MARQUISE,24,MARQUISE,30,9
EYRIE,33,MARQUISE,24,31
MARQUISE,32,MARQUISE,31,13
MARQUISE,58,MARQUISE,31,6
MARQUISE,42,MARQUISE,31,21
MARQUISE,49,MARQUISE,30,26
MARQUISE,23,MARQUISE,32,8
MARQUISE,26,MARQUISE,30,9
MARQUISE,39,MARQUISE,31,13
MARQUISE,22,MARQUISE,33,4
MARQUISE,37,MARQUISE,30,25
MARQUISE,24,MARQUISE,32,18
MARQUISE,31,MARQUISE,31,21
MARQUISE,41,MARQUISE,31,14
MARQUISE,33,MARQUISE,30,20
MARQUISE,28,MARQUISE,30,15
MARQUISE,38,MARQUISE,30,18
MARQUISE,22,MARQUISE,33,8
EYRIE,33,EYRIE,28,30
MARQUISE,26,MARQUISE,30,10
MARQUISE,26,MARQUISE,30,25
EYRIE,27,EYRIE,20,30
EYRIE,27,MARQUISE,26,31
EYRIE,29,MARQUISE,19,32
EYRIE,31,MARQUISE,17,31
MARQUISE,36,MARQUISE,31,28
MARQUISE,30,MARQUISE,30,1
MARQUISE,30,MARQUISE,30,4
MARQUISE,30,MARQUISE,31,14
MARQUISE,25,MARQUISE,30,18
MARQUISE,30,MARQUISE,31,19
MARQUISE,24,MARQUISE,30,16
MARQUISE,40,MARQUISE,30,19
EYRIE,23,EYRIE,13,32
EYRIE,21,MARQUISE,14,30
EYRIE,23,MARQUISE,17,32
EYRIE,45,MARQUISE,28,31
EYRIE,35,MARQUISE,26,30
MARQUISE,28,MARQUISE,31,6
EYRIE,33,EYRIE,27,30
MARQUISE,40,MARQUISE,30,9
EYRIE,25,MARQUISE,17,30
MARQUISE,24,MARQUISE,30,9
MARQUISE,25,MARQUISE,30,5
MARQUISE,28,MARQUISE,31,11
MARQUISE,28,MARQUISE,30,11
EYRIE,33,MARQUISE,26,32
EYRIE,19,MARQUISE,19,30
EYRIE,29,MARQUISE,15,30
MARQUISE,22,MARQUISE,31,4
EYRIE,39,MARQUISE,28,30
EYRIE,27,MARQUISE,27,30
MARQUISE,25,MARQUISE,30,7
MARQUISE,25,MARQUISE,31,13
MARQUISE,22,MARQUISE,32,0
EYRIE,19,MARQUISE,22,31
MARQUISE,44,MARQUISE,33,12
EYRIE,35,MARQUISE,26,30
MARQUISE,26,MARQUISE,32,0
EYRIE,27,MARQUISE,25,30
EYRIE,29,MARQUISE,25,30
EYRIE,25,MARQUISE,27,30
MARQUISE,33,EYRIE,30,17
EYRIE,29,MARQUISE,17,30
MARQUISE,25,MARQUISE,30,2
MARQUISE,26,MARQUISE,36,10
MARQUISE,26,MARQUISE,32,20
MARQUISE,31,MARQUISE,30,28
EYRIE,33,MARQUISE,24,31
MARQUISE,28,MARQUISE,30,5
MARQUISE,34,MARQUISE,31,4
MARQUISE,24,MARQUISE,31,15
MARQUISE,34,MARQUISE,31,10
EYRIE,33,MARQUISE,26,30
MARQUISE,22,MARQUISE,31,7
MARQUISE,46,MARQUISE,31,11
MARQUISE,28,MARQUISE,30,13
MARQUISE,23,MARQUISE,30,10
MARQUISE,32,MARQUISE,30,6
EYRIE,27,MARQUISE,22,30
EYRIE,25,MARQUISE,25,31
MARQUISE,25,EYRIE,31,7
EYRIE,25,EYRIE,23,31
MARQUISE,18,MARQUISE,35,11
MARQUISE,35,MARQUISE,30,15
MARQUISE,30,MARQUISE,31,5
MARQUISE,38,MARQUISE,30,26
MARQUISE,43,MARQUISE,30,13
MARQUISE,31,MARQUISE,30,6
MARQUISE,30,MARQUISE,30,7
MARQUISE,28,MARQUISE,33,9
MARQUISE,28,MARQUISE,33,17
MARQUISE,22,MARQUISE,30,16
MARQUISE,47,EYRIE,30,24
MARQUISE,33,MARQUISE,30,14
EYRIE,47,MARQUISE,25,30
MARQUISE,29,MARQUISE,30,27
MARQUISE,38,MARQUISE,30,20
EYRIE,39,MARQUISE,24,30
MARQUISE,25,EYRIE,30,20
MARQUISE,29,MARQUISE,31,22
MARQUISE,27,MARQUISE,30,18
MARQUISE,46,MARQUISE,30,27
MARQUISE,33,MARQUISE,30,24
MARQUISE,29,MARQUISE,30,9
MARQUISE,30,MARQUISE,31,3
MARQUISE,33,MARQUISE,31,26
MARQUISE,38,MARQUISE,31,17
MARQUISE,22,MARQUISE,31,3
EYRIE,31,MARQUISE,29,30
MARQUISE,36,EYRIE,30,9
EYRIE,27,MARQUISE,18,31
EYRIE,29,MARQUISE,22,31
MARQUISE,42,MARQUISE,30,0
MARQUISE,47,MARQUISE,30,22
EYRIE,19,MARQUISE,20,31
EYRIE,25,MARQUISE,24,30
EYRIE,35,MARQUISE,27,31
EYRIE,23,MARQUISE,18,33
MARQUISE,23,MARQUISE,31,12
MARQUISE,28,MARQUISE,30,7
MARQUISE,25,MARQUISE,30,13
MARQUISE,36,MARQUISE,31,29
MARQUISE,24,MARQUISE,30,5
MARQUISE,27,MARQUISE,30,27
MARQUISE,26,MARQUISE,30,12
EYRIE,35,MARQUISE,24,31
EYRIE,23,MARQUISE,17,31
MARQUISE,33,MARQUISE,32,20
MARQUISE,22,MARQUISE,31,20
MARQUISE,24,MARQUISE,31,25
MARQUISE,18,MARQUISE,30,17
MARQUISE,28,MARQUISE,31,6
MARQUISE,23,MARQUISE,30,11
EYRIE,35,MARQUISE,25,31
MARQUISE,30,MARQUISE,31,9
MARQUISE,40,MARQUISE,30,16
MARQUISE,28,MARQUISE,31,6
EYRIE,39,MARQUISE,27,30
MARQUISE,32,MARQUISE,30,15
EYRIE,25,MARQUISE,23,30
MARQUISE,49,MARQUISE,30,27
MARQUISE,37,MARQUISE,30,21
EYRIE,41,MARQUISE,29,30
MARQUISE,37,MARQUISE,31,6
EYRIE,29,MARQUISE,28,32
EYRIE,28,MARQUISE,24,30
MARQUISE,35,MARQUISE,30,25
EYRIE,29,MARQUISE,19,30
MARQUISE,35,MARQUISE,31,21
MARQUISE,32,MARQUISE,31,11
MARQUISE,27,MARQUISE,31,10
MARQUISE,33,MARQUISE,32,10
EYRIE,35,MARQUISE,23,33
MARQUISE,35,MARQUISE,30,22
MARQUISE,20,MARQUISE,32,22
MARQUISE,26,MARQUISE,31,4
MARQUISE,32,MARQUISE,31,14
EYRIE,21,MARQUISE,15,33
MARQUISE,34,MARQUISE,31,4
MARQUISE,17,EYRIE,30,0
EYRIE,31,MARQUISE,22,33
MARQUISE,29,EYRIE,30,21
EYRIE,33,MARQUISE,27,33
EYRIE,25,MARQUISE,24,30
MARQUISE,30,MARQUISE,30,22
EYRIE,21,MARQUISE,21,31
MARQUISE,25,EYRIE,30,24
MARQUISE,34,MARQUISE,31,22
MARQUISE,27,MARQUISE,30,23
MARQUISE,33,EYRIE,31,22
MARQUISE,35,MARQUISE,30,16
MARQUISE,28,MARQUISE,31,2
MARQUISE,49,EYRIE,30,10
EYRIE,27,MARQUISE,13,30
MARQUISE,21,MARQUISE,30,12
EYRIE,31,MARQUISE,28,30
MARQUISE,38,MARQUISE,33,10
EYRIE,17,MARQUISE,17,30
MARQUISE,32,MARQUISE,30,24
MARQUISE,36,MARQUISE,32,9
MARQUISE,29,MARQUISE,30,16
EYRIE,26,MARQUISE,19,30
EYRIE,30,MARQUISE,29,30
EYRIE,33,MARQUISE,22,30
EYRIE,31,MARQUISE,26,30
MARQUISE,27,EYRIE,30,24
EYRIE,47,MARQUISE,26,31
EYRIE,25,EYRIE,23,32
